Italian City,Bari,Bologna,Bolzano,Florence,Genoa,Milan,Naples,Palermo,Rome,Turin,Trieste,Venice
Agrigento,764,1445,1714,1375,1599,1663,841,136,1073,1773,1719,1570
Alassio,1064,383,497,366,0.98,248,856,1667,624,167,634,485
Ancona,475,210,479,255,495,428,410,1209,294,548,484,335
Aosta,1081,390,451,526,256,182,1014,1825,782,126,564,466
Arezzo,691,191,482,85,353,409,478,1289,246,527,499,350
Assisi,596,296,587,190,458,514,407,1218,175,632,560,411
Bari,---,681,950,784,966,899,322,734,482,1019,955,806
Bergamo,904,229,230,335,214,58,869,1638,637,181,374,238
Bologna,681,---,291,65,285,218,640,1415,408,338,308,159
Bolzano,950,291,---,397,399,276,931,1684,699,408,337,225
Caserta,350,619,910,513,737,837,28,839,211,911,927,778
Catania,572,1253,1522,1183,1407,1471,649,253,881,1581,1527,1378
Cervinia,1084,393,454,529,259,185,1017,1828,785,129,597,461
Como,947,266,283,372,205,48,906,1681,674,171,430,294
Cortina,955,308,109,414,500,377,948,1689,716,509,225,165
Cosenza,271,952,1221,882,1106,1170,348,463,580,1280,1226,1077
Ferrara,694,47,256,153,321,245,687,1428,455,381,261,112
Florence,784,106,397,---,268,324,534,1345,302,442,414,265
Genoa,996,285,399,268,---,156,758,1569,526,174,536,387
LAquila,424,423,692,352,598,641,261,1072,144,772,697,548
Lecce,154,835,1104,938,1120,1053,449,752,636,1173,1109,960
Lucca,817,142,413,72,193,293,567,1378,335,367,449,300
Mantova,786,111,189,217,243,153,761,1520,519,289,293,144
Matera,66,474,1014,825,1032,965,291,668,523,1085,1021,872
Messina,476,1157,1426,1087,1311,1375,533,258,785,1485,1431,1282
Milan,899,218,276,324,156,---,858,1633,626,139,420,284
Modena,720,39,252,145,246,179,679,1454,447,299,336,187
Naples,322,640,931,534,758,858,---,811,232,932,948,799
Ortisei,986,327,39,433,435,312,967,1720,735,444,300,219
Padua,769,122,188,228,350,247,762,1503,530,378,186,37
Palermo,734,1415,1684,1345,1569,1633,811,---,1043,1743,1689,1540
Parma,771,90,256,196,195,128,730,1505,498,248,360,211
Pavia,884,203,278,309,121,35,843,1618,611,136,436,287
Perugia,612,270,561,164,432,488,408,1219,176,606,543,394
Piacenza,831,150,257,256,142,68,790,1565,558,188,394,24
Pisa,818,162,434,92,190,290,568,1379,334,366,470,321
Ravenna,620,77,330,136,362,295,555,1354,375,415,335,186
Reggio Calabria,490,1171,1440,1101,1325,1389,567,272,799,1499,1445,1296
Rimini,568,113,382,158,398,331,503,1302,337,451,387,238
Roma,482,408,90,302,526,626,232,1043,---,700,716,567
Salerno,269,693,984,587,811,911,53,758,285,985,1001,852
Sanremo,1112,431,545,414,146,296,904,1715,672,212,682,533
Sestriere,1099,416,500,522,252,231,1010,1821,778,92,643,507
Siena,714,176,467,70,296,394,464,1275,232,470,484,335
Siracusa,648,1329,1598,1259,1483,1547,725,322,957,1657,1603,1454
Stresa,978,297,347,403,215,79,937,1712,705,132,491,355
Taormina,526,1207,1476,1137,1361,1425,603,266,835,1535,1481,1332
Taranto,87,768,1037,871,1053,986,365,668,569,1106,1042,893
Turin,1019,338,408,442,174,139,932,1743,702,---,551,415
Trento,892,233,58,339,341,218,874,1626,641,349,279,167
Trieste,995,308,338,414,336,420,948,1689,715,551,---,165
Udine,923,276,283,382,504,384,916,1657,684,515,68,133
Venice,806,269,225,265,387,284,899,1540,567,415,165,---
Verona,800,141,150,247,282,164,781,1534,549,295,256,120
Vicenza,802,155,154,261,332,214,795,1536,563,345,206,70
Viterbo,563,321,618,221,447,545,313,1124,81,621,635,486
